                  name,                                 location,                  website1,                  website1 cost,                  website2,                  website2 cost
Holiday Inn Resort Goa,Margao,Holiday Inn Resort,6784,Holiday Inn Resort,6784
The Leela Goa,Calangute,Booking.com,10030,Hotels.com,14750
Hyatt Centric Candolim Goa,Benaulim,Booking.com,5628,Agoda,5628
Novotel Goa Resort and Spa,Candolim,Novotel,4294,Booking.com,5487
Holiday Inn Resort Goa,Margao,Booking.com,6439,Holiday Inn Resort,6784
"Taj Fort Aguada Resort & Spa, Goa",Morjim,Booking.com,6719,Hotels.com,6719
"Vivanta Goa, Panaji",Calangute,Booking.com,5242,Hotels.com,5242
Grand Hyatt Goa,Candolim,Booking.com,8372,Hotels.com,8372
ITC Grand Goa Resort and Spa,Velha Goa,Booking.com,8968,Prestigia,10030
Hotel Taj Exotica Goa,Panaji,Booking.com,8399,Destinia,7521
Doubletree By Hilton Goa - Panaji,Arrosim Beach,Booking.com,4536,Hotels.com,4536
"Swati Hotel, Arambol, Goa",Candolim,Booking.com,701,Hotels.com,950
Novotel Goa Shrem,Margao,Booking.com,5375,Novotel,4129
The Zuri White Sands Goa Resort & Casino,Candolim,Booking.com,13184,Trip.com,14572
Resorte Marinha Dourada,Candolim,Booking.com,2856,Hotels.com,2856
"Country Inn & Suites by Radisson, Goa Panjim",Candolim,Booking.com,3998,Hotels.com,3714
Hard Rock Hotel Goa,Calangute,Booking.com,6535,Prestigia,8362
Seashell Villas The Villa,Benaulim,Booking.com,5796,Hotels.com,5796
Estrela Do Mar Beach Resort - A Beach Property,Panaji,Booking.com,3919,Hotels.com,3827
Royal Orchid Beach Resort & Spa,Pernem,Booking.com,5375,Agoda,4140
Radisson Blu Resort Goa Cavelossim Beach,Panaji,Booking.com,5712,Trip.com,7081
Hotel Novotel Goa Dona Sylvia Resort,Colva,Booking.com,5712,Novotel,6018
Fairfield By Marriott Goa Anjuna,Panaji,Booking.com,4059,Fairfield Inn,4059
"Taj Hotel & Convention Centre, Goa",Benaulim,Booking.com,7223,Destinia,6944
Heritage Village Resort & Spa Goa,Margao,Booking.com,5599,Hotels.com,5599
