                  name,                              location,                  website1,                  website1 cost ,                  website2,                  website2 cost
Holiday Inn Cochin,8.4 km to City centre,Holiday Inn,668,Agoda,2812
Gokulam Park & Convention Center,7.4 km to City centre,Goibibo.com,1563,Agoda,2000
Hotel Radisson Blu Kochi,5.9 km to City centre,Booking.com,3745,Crowne Plaza,4043
Crowne Plaza Kochi,5.6 km to City centre,Booking.com,5043,Holiday Inn,5668
Holiday Inn Cochin,8.4 km to City centre,Booking.com,3668,Booking.com,2912
Coral Isle,7.0 km to City centre,Goibibo.com,1867,Agoda,2464
Novotel Kochi Infopark (opening December 2017),14.2 km to City centre,Booking.com,2486,Booking.com,2978
Ibis Kochi City Centre,5.9 km to City centre,ibis,1424,Hotels.com,2147
Hotel Airlink Castle,26.7 km to City centre,Goibibo.com,2078,Agoda,2787
Kochi Marriott Hotel,11.7 km to City centre,Booking.com,4830,Prestigia,3706
"The Gateway Hotel Marine Drive, Ernakulam",5.2 km to City centre,Booking.com,2938,Agoda,2873
Sapphire Inn,29.2 km to City centre,Booking.com,873,Hotels.com,960
The Dunes Cochin,5.7 km to City centre,Goibibo.com,4031,Agoda,4746
Grand Hyatt Kochi Bolgatty,5.7 km to City centre,Booking.com,9609,Hotels.com,9347
Taj Malabar,4.3 km to City centre,Booking.com,4746,Agoda,4553
Courtyard by Marriott Kochi Airport,28.4 km to City centre,Booking.com,4347,Agoda,4746
Treebo Trend The Qasr,5.0 km to City centre,Booking.com,1553,Agoda,2373
Indy Old Court House,0.8 km away from the beach,Goibibo.com,2324,Booking.com,2694
Infopark Inn,13.5 km to City centre,Novotel,2486,Booking.com,2300
The Blooms Cochin,13.9 km to City centre,Booking.com,2373,Agoda,2154
Sidra Pristine  And Portico Halls,7.2 km to City centre,Goibibo.com,1328,Booking.com,1164
Aiswarya,4.4 km to City centre,Goibibo.com,883,Agoda,1006
Kochi Caprice,4.8 km to City centre,Booking.com,2380,Agoda,2500
Bharat Hotel,4.3 km to City centre,Goibibo.com,2293,Booking.com,2600
Four Points by Sheraton Kochi Infopark,13.6 km to City centre,Booking.com,3457,Goibibo.com,3200
