                  name,                                                  location,                         website1,                website1 cost ,                  website2,                  website2 cost
Villa Retreat Boutique Hotels,1.7 km to City centre,Goibibo.com,1912,Agoda,2000
Hill Country Kodai,0.8 km to City centre,Goibibo.com,2391,Booking.com,2400
Goldan Parks Inn,1.3 km to City centre,Agoda,4271,Hotels.com,4271
Jai,0.8 km to City centre,Agoda,4283,Agoda,4300
OYO 9183 RJ Inn,0.8 km to City centre,Booking.com,21240,Agoda,20000
Hotel Pleasant Stay,4.0 km to City centre,Goibibo.com,2169,Agoda,2500
The Peak Resorts,0.6 km to City centre,Booking.com,3951,Agoda,4000
The Fern Creek,1.2 km to City centre,Goibibo.com,7297,Booking.com,8000
Surya Holidays Inn,0.7 km to City centre,Goibibo.com,4248,Booking.com,4500
Altius Nest,1.7 km to City centre,Goibibo.com,5742,Agoda,5600
Sterling Kodai Lake,0.2 km to City centre,Goibibo.com,5107,Agoda,5200
Sterling Kodai Valley,0.9 km to City centre,Goibibo.com,3214,Agoda,3200
Pine Borough Inn,1.2 km to City centre,Goibibo.com,2163,Agoda,2000
Raahat Inn,6.0 km to City centre,Agoda,1682,Booking.com,1700
Kodai Resort,1.3 km to City centre,Agoda,6091,Booking.com,6000
Saliha International,0.8 km to City centre,Goibibo.com,5264,Booking.com,5400
